time,Average Publishing Delay
100,30111.5
200,30061.5
300,30011.5
400,29961.5
500,29911.5
600,29861.5
700,29811.5
800,29761.5
900,29711.5
1000,29661.5
1100,29611.5
1200,29561.5
1300,29511.5
1400,29461.5
1500,29411.5
1600,29361.5
1700,29311.5
1800,29261.5
1900,29211.5
2000,29161.5
2100,29111.5
2200,29061.5
2300,29011.5
2400,28961.5
2500,28911.5
2600,28861.5
2700,28811.5
2800,28761.5
2900,28711.5
3000,28661.5
3100,28611.5
3200,28561.5
3300,28511.5
3400,28461.5
3500,28411.5
3600,28361.5
3700,28311.5
3800,28261.5
3900,28211.5
4000,28161.5
4100,28111.5
4200,28061.5
4300,28011.5
4400,27961.5
4500,27911.5
4600,27861.5
4700,27811.5
4800,27761.5
4900,27711.5
5000,27661.5
5100,27611.5
5200,27561.5
5300,27511.5
5400,27461.5
5500,27411.5
5600,27361.5
5700,27311.5
5800,27261.5
5900,27211.5
6000,27161.5
6100,27111.5
6200,27061.5
6300,27011.5
6400,26961.5
6500,26911.5
6600,26861.5
6700,26811.5
6800,26761.5
6900,26711.5
7000,26661.5
7100,26611.5
7200,26561.5
7300,26511.5
7400,26461.5
7500,26411.5
7600,26361.5
7700,26311.5
7800,26261.5
7900,26211.5
8000,26161.5
8100,26111.5
8200,26061.5
8300,26011.5
8400,25961.5
8500,25911.5
8600,25861.5
8700,25811.5
8800,25761.5
8900,25711.5
9000,25661.5
9100,25611.5
9200,25561.5
9300,25511.5
9400,25461.5
9500,25411.5
9600,25361.5
9700,25311.5
9800,25261.5
9900,25211.5
10000,25161.5
10100,25111.5
10200,25061.5
10300,25011.5
10400,24961.5
10500,24911.5
10600,24861.5
10700,24811.5
10800,24761.5
10900,24711.5
11000,24661.5
11100,24611.5
11200,24561.5
11300,24511.5
11400,24461.5
11500,24411.5
11600,24361.5
11700,24311.5
11800,24261.5
11900,24211.5
12000,24161.5
12100,24111.5
12200,24061.5
12300,24011.5
12400,23961.5
12500,23911.5
12600,23861.5
12700,23811.5
12800,23761.5
12900,23711.5
13000,23661.5
13100,23611.5
13200,23561.5
13300,23511.5
13400,23461.5
13500,23411.5
13600,23361.5
13700,23311.5
13800,23261.5
13900,23211.5
14000,23161.5
14100,23111.5
14200,23061.5
14300,23011.5
14400,22961.5
14500,22911.5
14600,22861.5
14700,22811.5
14800,22761.5
14900,22711.5
15000,22661.5
15100,22611.5
15200,22561.5
15300,22511.5
15400,22461.5
15500,22411.5
15600,22361.5
15700,22311.5
15800,22261.5
15900,22211.5
16000,22161.5
16100,22111.5
16200,22061.5
16300,22011.5
16400,21961.5
16500,21911.5
16600,21861.5
16700,21811.5
16800,21761.5
16900,21711.5
17000,21661.5
17100,21611.5
17200,21561.5
17300,21511.5
17400,21461.5
17500,21411.5
17600,21361.5
17700,21311.5
17800,21261.5
17900,21211.5
18000,21161.5
18100,21111.5
18200,21061.5
18300,21011.5
18400,20961.5
18500,20911.5
18600,20861.5
18700,20811.5
18800,20761.5
18900,20711.5
19000,20661.5
19100,20611.5
19200,20561.5
19300,20511.5
19400,20461.5
19500,20411.5
19600,20361.5
19700,20311.5
19800,20261.5
19900,20211.5
20000,20161.5
20100,20111.5
20200,20061.5
20300,20011.5
20400,19961.5
20500,19911.5
20600,19861.5
20700,19811.5
20800,19761.5
20900,19711.5
21000,19661.5
21100,19611.5
21200,19561.5
21300,19511.5
21400,19461.5
21500,19411.5
21600,19361.5
21700,19311.5
21800,19261.5
21900,19211.5
22000,19161.5
22100,19111.5
22200,19061.5
22300,19011.5
22400,18961.5
22500,18911.5
22600,18861.5
22700,18811.5
22800,18761.5
22900,18711.5
23000,18661.5
23100,18611.5
23200,18561.5
23300,18511.5
23400,18461.5
23500,18411.5
23600,18361.5
23700,18311.5
23800,18261.5
23900,18211.5
24000,18161.5
24100,18111.5
24200,18061.5
24300,18011.5
24400,17961.5
24500,17911.5
24600,17861.5
24700,17811.5
24800,17761.5
24900,17711.5
25000,17661.5
25100,17611.5
25200,17561.5
25300,17511.5
25400,17461.5
25500,17411.5
25600,17361.5
25700,17311.5
25800,17261.5
25900,17211.5
26000,17161.5
26100,17111.5
26200,17061.5
26300,17011.5
26400,16961.5
26500,16911.5
26600,16861.5
26700,16811.5
26800,16761.5
26900,16711.5
27000,16661.5
27100,16611.5
27200,16561.5
27300,16511.5
27400,16461.5
27500,16411.5
27600,16361.5
27700,16311.5
27800,16261.5
27900,16211.5
28000,16161.5
28100,16111.5
28200,16061.5
28300,16011.5
28400,15961.5
28500,15911.5
28600,15861.5
28700,15811.5
28800,15761.5
28900,15711.5
29000,15661.5
29100,15611.5
29200,15561.5
29300,15511.5
29400,15461.5
29500,15411.5
29600,15361.5
29700,15311.5
29800,15261.5
29900,15211.5
30000,15161.5
30100,15111.5
