age,fnlwgt,education.num,capital.gain,capital.loss,hours.per.week,class
49,83311,12,1,0,12,<=50K
47,83313,13,0,0,14,<=50K
53,234720,7,1,1,41,<=50K
54,234722,8,0,0,41,<=50K
36,284582,13,0,2,39,<=50K
37,284580,14,0,0,38,<=50K
54,209639,10,0,1,45,>50K
52,209641,9,1,0,45,<=50K
41,159447,14,5178,0,40,>50K
39,159448,13,5178,1,40,>50K
29,141296,12,0,1,41,>50K
29,141295,13,0,1,39,>50K
32,205019,11,0,3,51,<=50K
31,205020,11,1,0,48,<=50K
23,176756,8,1,0,36,<=50K
25,176756,9,0,1,35,<=50K
39,28887,8,1,0,48,<=50K
36,28886,5,0,1,50,<=50K
39,193524,16,0,0,58,>50K
38,193525,17,0,0,59,>50K
34,76844,6,1,0,40,<=50K
36,76844,4,0,0,39,<=50K
59,109013,9,0,0,39,<=50K
58,109016,10,0,0,39,<=50K
18,168294,9,0,0,40,<=50K
19,168292,8,0,0,40,>50K
49,193366,8,1,0,40,<=50K
50,193364,10,1,0,41,<=50K
19,266016,9,1,1,43,<=50K
20,266015,10,0,1,44,<=50K
29,59951,11,2,0,41,<=50K
29,59949,10,0,0,38,<=50K
48,242406,6,0,2,39,<=50K
49,242405,7,0,1,40,<=50K
18,544090,9,1,0,23,<=50K
20,544091,10,0,0,25,<=50K
31,507875,6,0,0,42,<=50K
31,507874,6,1,0,42,<=50K
24,172987,12,1,0,49,<=50K
24,172986,13,0,1,50,<=50K
24,289980,10,0,0,33,<=50K
25,289979,8,0,0,37,<=50K
52,144360,9,0,0,37,<=50K
52,144360,9,1,0,39,>50K
42,101603,12,0,1,39,<=50K
42,101605,9,0,0,39,<=50K
23,32275,10,0,0,41,<=50K
25,32274,10,1,1,38,<=50K
50,251587,13,0,1,55,>50K
48,251584,11,0,0,56,>50K
42,237994,7,0,0,39,>50K
44,237994,9,1,0,39,<=50K
34,56351,11,0,2,40,<=50K
35,56352,10,0,0,39,<=50K
31,188145,10,5014,0,40,<=50K
29,188145,9,5013,0,38,<=50K
48,149640,5,1,1,39,<=50K
47,149641,7,0,1,39,<=50K
28,105597,9,0,2,57,<=50K
29,105597,9,2,0,56,>50K
28,183174,11,0,1,41,<=50K
28,183173,10,1,2,40,<=50K
48,191680,10,0,0,51,>50K
48,191680,7,0,1,49,>50K
30,309974,13,0,0,42,<=50K
30,309973,14,0,1,39,<=50K
23,211678,10,2,0,39,<=50K
23,211678,11,0,1,40,>50K
26,213921,7,1,0,41,<=50K
26,213922,6,1,0,39,<=50K
17,309633,7,0,0,22,<=50K
18,309633,6,0,1,24,<=50K
16,446839,10,0,0,29,<=50K
17,446838,9,1,1,28,<=50K
44,51617,11,1,0,38,<=50K
45,51617,8,1,2,40,<=50K
43,343591,10,14343,1,38,>50K
43,343589,9,14343,0,40,<=50K
48,268233,8,0,0,38,>50K
47,268234,9,1,1,39,<=50K
29,54334,5,0,0,39,<=50K
30,54334,6,0,0,40,<=50K
57,249977,11,0,0,40,<=50K
56,249978,9,1,0,41,>50K
26,212560,9,0,0,24,<=50K
30,212562,10,0,0,24,<=50K
28,115583,8,0,0,50,<=50K
31,115583,8,0,2,51,>50K
36,202683,9,0,0,49,>50K
36,202682,10,1,2,48,>50K
31,249408,7,0,0,39,<=50K
31,249408,6,2,0,40,<=50K
44,198283,12,15024,1,60,>50K
45,198280,14,15022,2,60,>50K
20,188300,9,0,1,40,<=50K
21,188300,10,0,0,41,<=50K
31,317658,8,7687,0,39,>50K
32,317659,9,7689,0,40,<=50K
28,189265,8,2,2,40,<=50K
31,189264,9,0,0,38,<=50K
23,432377,12,1,0,39,<=50K
24,432375,13,0,0,40,<=50K
56,335606,8,0,1887,49,>50K
55,335605,9,0,1887,49,>50K
35,102864,9,0,0,40,<=50K
35,102864,9,0,2,39,<=50K
56,303089,8,0,0,50,<=50K
56,303089,10,0,1,49,<=50K
54,247553,11,1,0,58,<=50K
55,247552,10,1,0,55,>50K
20,199914,11,0,0,40,<=50K
20,199915,9,0,0,40,<=50K
31,77143,14,1,0,39,<=50K
30,77143,12,0,0,39,<=50K
20,301606,10,0,0,33,<=50K
18,301604,10,0,0,35,>50K
19,111698,10,1,1718,26,<=50K
19,111697,8,1,1718,29,>50K
39,365740,9,1,0,40,<=50K
39,365738,8,0,0,38,>50K
24,43324,9,0,1761,40,<=50K
25,43325,10,0,1760,39,<=50K
36,254201,13,0,0,49,<=50K
37,254201,13,0,0,51,<=50K
38,125935,12,0,0,40,>50K
37,125932,13,0,0,38,<=50K
28,163126,11,1,0,35,<=50K
26,163127,12,0,0,35,<=50K
49,81973,8,0,0,39,>50K
49,81973,9,1,1,40,<=50K
25,232781,8,1,1,38,<=50K
27,232782,11,0,0,39,<=50K
44,196583,10,0,1565,40,>50K
46,196584,11,1,1567,40,<=50K
30,185813,9,1,2,28,<=50K
31,185811,9,0,0,30,<=50K
38,108291,9,0,0,21,<=50K
35,108294,9,0,0,25,<=50K
44,186009,10,1,1,37,<=50K
45,186009,9,0,0,35,<=50K
33,163003,11,0,0,40,<=50K
33,163002,13,0,0,41,<=50K
48,187714,11,1,0,44,<=50K
47,187714,9,0,1,43,<=50K
71,494222,11,0,1815,2,<=50K
70,494223,10,1,1816,2,<=50K
43,228453,13,1,0,48,<=50K
42,228458,13,0,1,50,<=50K
43,78374,14,0,2,40,<=50K
43,78373,14,2,0,40,<=50K
45,201078,13,1,0,40,>50K
45,201080,13,1,0,39,<=50K
38,235485,9,0,0,43,<=50K
37,235485,12,0,1,40,<=50K
19,25828,7,0,0,16,<=50K
19,25827,6,0,2,17,<=50K
27,124952,10,0,1981,39,<=50K
28,124951,9,2,1979,39,<=50K
51,96062,11,0,1978,39,>50K
49,96063,10,0,1978,40,<=50K
28,149623,12,0,1,41,>50K
27,149624,13,0,0,40,<=50K
20,312956,6,0,0,38,<=50K
22,312956,9,2,0,39,<=50K
17,183929,8,1,0,10,<=50K
16,183930,9,0,0,11,<=50K
42,181344,10,0,0,40,>50K
43,181344,10,0,0,39,<=50K
31,633741,9,1,0,46,<=50K
28,633742,8,0,0,45,<=50K
34,29054,9,0,0,41,>50K
36,29054,12,1,0,40,>50K
41,143130,14,2,1,40,<=50K
41,143129,13,0,1,40,<=50K
58,109565,16,1,0,1,>50K
59,109568,15,0,0,2,<=50K
21,159566,8,1,0,39,<=50K
24,159566,9,1,2,40,<=50K
46,120938,9,1,1,44,<=50K
46,120940,10,0,0,45,<=50K
24,197390,2,0,0,41,<=50K
23,197385,2,0,1,38,<=50K
40,56795,15,14083,1,55,>50K
39,56796,15,14082,0,55,<=50K
25,32921,10,1,1,39,<=50K
24,32920,9,0,0,40,>50K
50,259321,12,0,0,51,>50K
50,259322,12,0,0,48,<=50K
37,48211,9,0,0,35,<=50K
37,48210,7,0,0,33,<=50K
36,128757,14,7297,0,35,>50K
35,128758,14,7298,0,35,<=50K
58,210563,9,15023,1,35,>50K
56,210564,8,15022,1,34,<=50K
42,160943,8,0,0,40,<=50K
44,160942,8,1,1,42,<=50K
33,153789,10,0,0,39,<=50K
35,153790,9,0,0,39,>50K
53,125416,4,2,0,41,>50K
53,125417,3,1,0,38,<=50K
50,313320,11,2,0,40,<=50K
49,313319,11,0,0,39,>50K
46,109435,12,0,0,54,<=50K
45,109433,14,0,0,55,<=50K
30,197861,8,1,1,38,<=50K
32,197860,9,0,0,39,<=50K
54,176680,9,1,0,20,<=50K
54,176680,11,1,1,20,<=50K
19,243312,8,0,1,40,<=50K
18,243312,8,0,0,39,<=50K
73,314210,10,1,0,19,<=50K
74,314207,12,0,1,19,<=50K
35,538583,9,3673,0,41,<=50K
37,538582,6,3674,0,40,<=50K
25,159732,10,0,0,41,<=50K
25,159730,9,1,2,43,<=50K
28,76715,15,1,0,56,>50K
27,76712,15,0,0,53,<=50K
41,170524,8,0,0,37,<=50K
40,170525,11,0,0,38,<=50K
38,115076,13,0,0,67,>50K
39,115074,12,1,0,68,>50K
41,347889,14,2,0,40,>50K
39,347889,12,0,0,41,<=50K
23,273905,10,1,0,49,<=50K
25,273907,11,1,0,50,<=50K
59,236595,8,1,0,44,>50K
58,236597,9,0,0,45,<=50K
40,207577,10,2,1976,60,>50K
39,207576,13,0,1977,60,<=50K
41,390781,14,0,1,38,<=50K
42,390781,12,2,0,39,>50K
17,27382,10,0,0,39,<=50K
18,27381,9,0,0,38,<=50K
42,303044,8,1,0,38,>50K
42,303044,8,1,1,38,<=50K
31,172579,8,0,1,31,<=50K
31,172576,9,0,0,32,<=50K
50,204517,3,0,0,40,<=50K
51,204515,5,0,1,39,<=50K
44,98093,8,0,0,60,<=50K
45,98091,8,1,0,60,<=50K
60,146012,9,4062,1,38,<=50K
58,146012,7,4066,0,39,<=50K
34,257295,10,0,0,75,>50K
35,257295,9,1,0,75,<=50K
34,185478,11,0,0,44,<=50K
33,185480,12,0,1,45,>50K
60,69867,9,0,1,39,>50K
61,69867,9,0,2,38,>50K
51,30652,14,2407,2,97,<=50K
51,30652,13,2406,0,97,<=50K
29,70376,9,2,0,40,<=50K
30,70376,8,1,1,40,<=50K
42,170921,9,7299,0,40,>50K
44,170926,9,7297,0,39,<=50K
25,193787,11,0,0,40,<=50K
25,193789,10,1,0,38,<=50K
23,34920,12,0,0,14,<=50K
22,34919,12,0,1,15,>50K
33,175411,11,1,0,45,<=50K
